Period Start,Period End,Revenue,COGS,Operating Income,Net Profit,Wheat Price,Sugar Price,CPI_YoY,Exchange_Rate,Income taxes - current,Income taxes - deferred,Total income taxes,Cash and Deposits,Total Assets,Population Youth,Snack Exp
1/4/2013,30/6/2013,"78,415","44,014","3,813","4,927",269.02,382.46,-0.3,103.91,"1,977",621,"2,599",Null,Null,16.9,74130.6
1/7/2013,30/9/2013,"91,269","51,239","5,971","5,518",257.97,381.84,-0.7,99.65,"1,977",621,"2,599",Null,Null,16.9,74130.6
1/10/2013,31/12/2013,"76,518","44,165","2,498","3,818",261.35,390.26,-0.9,98.44,"1,977",621,"2,599",Null,Null,16.9,74130.6
1/1/2014,31/3/2014,"69,197","39,377",-637,"1,251",249.46,370.97,-0.7,95.09,"5,581","2,664","8,246","15,262","189,937",16.6,76807.7
1/4/2014,30/6/2014,"78,853","43,611","4,607","11,584",275.32,401.95,-0.3,92.24,"5,581","2,664","8,246","15,262","189,937",16.6,76807.7
1/7/2014,30/9/2014,"86,872","48,657","4,876","4,853",226.29,389.48,0.2,96.27,"5,581","2,664","8,246","15,262","189,937",16.6,76807.7
1/10/2014,31/12/2014,"78,470","43,824","3,151","5,299",220.52,347.94,0.7,94.38,"5,581","2,664","8,246","15,262","189,937",16.6,76807.7
1/1/2015,31/3/2015,"75,198","41,690","1,613","6,752",205.82,311.7,0.9,96.08,"4,047",-127,"3,920","22,546","209,682",16.3,83027
1/4/2015,30/6/2015,"85,167","45,998","5,739","4,378",196.33,277.25,1.1,94.58,"4,047",-127,"3,920","22,546","209,682",16.3,83027
1/7/2015,30/9/2015,"95,019","51,293","6,855","3,483",178.93,254.93,1.1,95.01,"4,047",-127,"3,920","22,546","209,682",16.3,83027
1/10/2015,31/12/2015,"81,292","44,497","4,267","3,972",162.38,321.49,1.5,93.35,"4,047",-127,"3,920","22,546","209,682",16.3,83027
1/1/2016,31/3/2016,"76,959","42,116",249,"-4,422",162.65,316.26,1.6,90.2,"4,812",412,"5,225","31,986","232,608",16.1,83472
1/4/2016,30/6/2016,"88,747","47,477","7,840","4,776",159.21,374.93,1.4,90.17,"4,812",412,"5,225","31,986","232,608",16.1,83472
1/7/2016,30/9/2016,"97,495","51,830","8,583","4,659",128.29,448.67,1.5,92.04,"4,812",412,"5,225","31,986","232,608",16.1,83472
1/10/2016,31/12/2016,"84,799","44,851","6,291","7,110",122.65,460.14,1.6,91.82,"4,812",412,"5,225","31,986","232,608",16.1,83472
1/1/2017,31/3/2017,"82,176","43,928","1,540","3,993",143.65,433.6,3.4,91.57,"4,747",48,"4,795","77,066","281,632",15.8,83087
1/4/2017,30/6/2017,"88,814","46,842","6,567","6,283",147.36,334.63,3.7,92.15,"4,747",48,"4,795","77,066","281,632",15.8,83087
1/7/2017,30/9/2017,"98,790","51,790","8,936","6,584",150.67,307.52,3.6,92.04,"4,747",48,"4,795","77,066","281,632",15.8,83087
