Date,Revenue,Operating Income,Net Profit,COGS,Pharmaceuticals_Cosmetics,Chemicals,Drug Store,Everyday Items Exp,CPI_YoY,Exchange_Rate
2024/04/01-2024/06/30,"105,669","8,464","6,383","57,570","8,607.33","10,775.00",731918,44763,-0.5,102.27
2024/01/01-2024/03/31,"92,965","4,893","3,548","50,733","8,071.67","10,519.33",702911.3333,44763,-0.5,102.63
2023/10/01-2023/12/31,"106,670","7,993","5,774","57,420","9,099.00","10,862.33",726308,41995,-0.4,100.49
2023/07/01-2023/09/30,"103,210","6,267","4,552","57,716","8,355.00","10,383.00",725521.3333,41995,-0.4,98.74
2023/04/01-2023/06/30,"102,037","3,883","2,720","55,428","8,184.33","9,980.67",685405.6667,41995,-0.5,95.29
2023/01/01-2023/03/31,"90,849","2,361","1,578","51,603","7,311.33","10,341.33",578174.3333,41995,-0.3,93.92
2022/10/01-2022/12/31,"103,728","6,447","4,832","56,787","8,469.00","10,459.00",671107,41057,0,92.13
2022/07/01-2022/09/30,"100,946","8,128","6,052","56,058","7,625.67","10,501.00",663525,41057,0.2,91.69
2022/04/01-2022/06/30,"98,165","3,778","3,163","54,685","7,647.33","10,501.33",628195,41057,-0.1,89.58
2022/01/01-2022/03/31,"87,030","10,489","7,891","47,732","6,835.33","10,038.33",606725,41057,0.2,85.86
2021/10/01-2021/12/31,"98,642","5,701","4,730","52,764","7,798.33","9,890.33",619018.3333,40683,0.3,84.69
2021/07/01-2021/09/30,"94,369","11,291","8,214","47,535","7,210.67","9,104.67",626694.3333,40683,0.3,85.53
2021/04/01-2021/06/30,"90,767","5,905","4,860","45,638","7,033.67","8,769.00",611639,40683,0,86.05
2021/01/01-2021/03/31,"82,456","8,281","5,955","41,192","6,351.67","8,594.00",578174.3333,40683,0.2,83.37
2020/10/01-2020/12/31,"93,303","5,830","2,633","47,049","7,397.00","8,198.00",605436.3333,42119,0.2,81.85
2020/07/01-2020/09/30,"92,938","12,276","8,614","44,923","6,889.33","7,248.67",615199.6667,42119,0.4,80.86
2020/04/01-2020/06/30,"86,556","7,235","5,064","42,904","6,951.00","7,107.00",612583.6667,42119,0.5,82.43
2020/01/01-2020/03/31,"82,555","18,733","13,559","40,603","5,706.33","8,070.33",594806.3333,42119,0.6,83.74
2019/10/01-2019/12/31,"85,557","6,002","3,609","43,140","6,110.33","8,331.00",569397.3333,36593,2.3,83.76
2019/07/01-2019/09/30,"94,628","10,941","8,261","47,633","5,854.00","8,272.00",604280.3333,36593,2.2,84.06
2019/04/01-2019/06/30,"88,397","6,936","5,248","44,740","5,977.00","8,427.00",568033,36593,2.4,83.65
2019/01/01-2019/03/31,"78,937","5,953","3,441","40,075","5,249.67","8,854.00",536831,36593,2.4,81.88
2018/10/01-2018/12/31,"90,690","7,989","5,670","45,959","6,135.67","9,727.00",545285.3333,34266,2.4,82.92
2018/07/01-2018/09/30,"90,229","8,335","6,001","45,905","5,458.33","9,132.00",541637,34266,2.9,88.49
2018/04/01-2018/06/30,"89,111","6,662","4,684","45,176","5,610.67","8,982.00",531802.6667,34266,3.2,88.35
2018/01/01-2018/03/31,"79,373","11,210","9,251","40,633","5,059.33","8,992.33",502748,34266,3.3,91.26
2017/10/01-2017/12/31,"109,342","6,509","4,995","45,862","5,984.00","9,068.00",524332,33535,3.4,92.11
2017/07/01-2017/09/30,"106,575","8,905","6,560","44,830","5,452.67","8,378.00",517659.3333,33535,3.6,92.04
2017/04/01-2017/06/30,"102,350","5,004","3,499","42,881","4,788.33","7,457.00",505375,33535,3.7,92.15
2017/01/01-2017/03/31,"92,217","6,788","4,773","37,687","4,468.33","7,970.67",471957.3333,33535,3.4,91.57
2016/10/01-2016/12/31,"105,472","5,438","2,908","42,875","5,203.00","7,306.67",492112.3333,33192,1.6,91.82
2016/07/01-2016/09/30,"101,886","8,634","5,882","41,719","4,584.67","6,782.67",483691.3333,33192,1.5,92.04
2016/04/01-2016/06/30,"98,763","4,635","3,364","40,546","4,838.67","6,771.33",476551.3333,33192,1.4,90.17
2016/01/01-2016/03/31,"89,485","5,795","3,797","36,914","4,452.67","7,134.33",456245.3333,33192,1.6,90.2
2015/10/01-2015/12/31,"104,632","5,304","3,267","43,666","5,503.67","7,525.67",466065.3333,31624,1.5,93.35
2015/07/01-2015/09/30,"93,744","5,372","3,515","39,998","4,990.67","7,710.33",457529.6667,31624,1.1,95.01
2015/04/01-2015/06/30,"97,358","3,561","2,762","42,192","3,226.00","7,298.33",446027.3333,31624,1.1,94.58
2015/01/01-2015/03/31,"82,925","2,137","1,136","36,654","2,948.00","7,450.67",417344,31624,0.9,96.08
2014/10/01-2014/12/31,"102,091","5,063","2,473","44,664","3,380.33","7,941.00",424973.3333,29500,0.7,94.38
2014/07/01-2014/09/30,"88,672","3,385","2,429","38,863","3,059.00","7,747.67",416080,29500,0.2,96.27
2014/04/01-2014/06/30,"87,037",342,119,"38,115","2,848.33","7,579.33",389044.6667,29500,-0.3,92.24
2014/01/01-2014/03/31,"89,596","3,616","2,347","39,114","3,029.33","8,063.33",415734,29500,-0.7,95.09
