Date,Revenue,Operating Income,Net Profit,COGS,Sales of daily consumer goods,Diapers Exp,Cosmetics,Cardboard,CPI_YoY,Exchange_Rate
2024/04/01-2024/06/30,"251,448","35,556","21,799","149,940","9,485,929","4,057","8,607",6.5,-1,102
2024/01/01-2024/03/31,"236,281","37,542","17,829","144,080","9,542,741","4,057","8,072",6.5,-1,103
2023/07/01-2023/09/30,"233,494","33,989","26,326","144,882","8,806,438","3,796","8,355",6.5,0,94
2023/04/01-2023/06/30,"233,098","30,320","18,151","146,064","9,368,927","3,796","8,184",6.5,0,86
2023/01/01-2023/03/31,"220,839","28,427","16,516","143,227","8,849,044","3,796","7,311",6.5,0,82
2022/07/01-2022/09/30,"232,934","36,241","20,710","146,283","8,806,438","3,273","7,626",6.5,0,81
2022/04/01-2022/06/30,"217,241","25,473","14,938","136,497","9,149,114","3,273","7,647",6.5,1,82
2022/01/01-2022/03/31,"204,373","29,948","16,826","127,961","8,869,304","3,273","6,835",6,1,84
2021/07/01-2021/09/30,"194,918","35,635","21,985","115,662","8,462,968","3,123","7,211",5.5,2,84
2021/04/01-2021/06/30,"194,945","30,429","19,859","113,910","8,864,594","3,123","7,034",5,2,84
2021/01/01-2021/03/31,"182,015","31,353","20,104","107,975","8,039,126","3,123","6,352",4.5,2,84
2020/07/01-2020/09/30,"177,921","33,822","20,795","104,374","8,243,225","3,524","6,889",4.5,2,82
2020/04/01-2020/06/30,"172,765","25,047",63,"102,648","8,027,945","3,524","6,951",4.5,2,83
2020/01/01-2020/03/31,"183,788","30,281","19,215","111,444","8,058,556","3,524","5,706",5.5,3,88
2019/07/01-2019/09/30,"182,243","29,140","20,198","111,161","8,269,897","3,681","5,854",7,3,88
2019/04/01-2019/06/30,"173,887","19,122","12,597","109,876","7,829,427","3,681","5,977",8.5,3,91
2019/01/01-2019/03/31,"168,611","20,098","12,701","107,687","8,055,429","3,681","5,250",12,3,92
2018/07/01-2018/09/30,"172,430","28,540","17,085","104,281","8,256,954","3,425","5,458",10,4,92
2018/04/01-2018/06/30,"164,749","22,537","15,823","100,697","7,977,010","3,425","5,611",10,3,92
2018/01/01-2018/03/31,"160,936","24,731","14,178","98,137","7,997,735","3,425","5,059",10,2,92
2017/07/01-2017/09/30,"163,612","27,691","18,424","99,057","8,314,764","3,542","5,453",11,2,92
2017/04/01-2017/06/30,"155,721","20,149","13,609","95,716","8,391,979","3,542","4,788",10.5,1,90
2017/01/01-2017/03/31,"146,259","18,793","11,589","90,575","8,249,386","3,542","4,468",10.5,2,90
2016/07/01-2016/09/30,"160,414","15,683","11,960","85,833","8,592,065","3,422","4,585",10,2,93
2016/04/01-2016/06/30,"177,414","20,734","9,038","93,684","8,576,261","3,422","4,839",10,1,95
2016/01/01-2016/03/31,"173,065","15,039","8,517","94,077","8,690,579","3,422","4,453",10,1,95
2015/07/01-2015/09/30,"170,262","15,178","1,685","94,138","8,914,209","3,502","4,991",10,1,96
2015/04/01-2015/06/30,"181,251","17,651","10,113","100,577","8,934,962","3,502","3,226",10,1,94
2015/01/01-2015/03/31,"177,558","17,049","5,778","99,327","8,756,885","3,502","2,948",10,0,96
2014/07/01-2014/09/30,"161,117","18,191","13,612","89,221","8,761,662","3,516","3,059",9.5,0,92
2014/04/01-2014/06/30,"195,709","18,517","9,080","110,729","8,618,481","3,498","2,848",9,-1,95
2013/10/01-2013/12/31,"152,360","17,150","12,013","83,983","9,705,282","3,479","3,378",8.5,-1,98
2013/07/01-2013/09/30,"142,857","14,393","6,388","79,654","8,258,224","3,468","3,075",7.5,-1,100
2013/04/01-2013/06/30,"143,761","17,652","10,949","78,440","8,389,206","3,456","3,116",6.5,0,104
